movie_id,片名,年份,豆瓣评分,语言,类型,Region,候选原因,默认建议,备注
5919317,彩排记,2008,8.0,四川方言,纪录片 / 戏曲,China,戏曲片（类型含戏曲）,排除,
21372232,红楼梦,2015,6.8,吴语,剧情 / 爱情 / 戏曲,China,戏曲片（类型含戏曲）,排除,
33211868,张国荣曼谷演唱会,1983,9.4,粤语 / 汉语普通话 / 英语,纪录片 / 音乐 / 歌舞,Other,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
32568945,张国荣1985夏日百爵演唱会,1985,9.5,粤语 / 汉语普通话 / 英语,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30468873,张国荣86浓情演唱会,1986,9.6,粤语 / 汉语普通话 / 英语,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30468929,张国荣88演唱会,1988,9.6,粤语 / 汉语普通话 / 英语,纪录片 / 音乐,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30468861,张国荣告别演唱会,1989,9.7,粤语 / 汉语普通话 / 英语,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30474677,BeyondLive1991生命接触演唱会,1991,9.6,粤语,音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
33414398,摇滚中国乐势力演唱会,1994,9.6,粤语 / 汉语普通话,纪录片 / 音乐,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30468860,张国荣跨越97演唱会,1996,9.8,粤语 / 汉语普通话 / 英语,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30468862,张国荣拉阔音乐会,2000,9.7,粤语 / 汉语普通话 / 英语,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30466847,张国荣热·情演唱会,2000,9.8,粤语 / 汉语普通话 / 英语,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30481783,梅艳芳极梦幻演唱会,2002,9.6,粤语,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
34970291,王菲全面体演唱会（日本武道馆）,2002,9.5,粤语 / 汉语普通话 / 日语,纪录片 / 音乐,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30470561,梅艳芳经典金曲演唱会,2003,9.8,粤语 / 汉语普通话,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
33414399,张学友活出生命live演唱会,2004,9.6,粤语 / 英语 / 汉语普通话,纪录片 / 音乐,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
33425522,学友.光年世界巡回演唱会,2007,9.1,粤语 / 汉语普通话,音乐,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
35376944,Concert YY 黄伟文作品展 演唱会,2012,9.7,粤语 / 汉语普通话,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30468874,群星追忆张国荣2012演唱会,2012,9.2,粤语 / 汉语普通话,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
30470314,继续宠爱·十年·音乐会,2013,9.4,粤语 / 汉语普通话,纪录片 / 音乐 / 歌舞,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
33425520,A Classic Tour 学友.经典世界巡回演唱会,2016,9.4,粤语 / 汉语普通话,音乐,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
35068044,郭富城鼓舞·动起来网络慈善演唱会,2020,9.2,粤语,音乐,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
35132844,陈奕迅线上慈善演唱会,2020,9.7,粤语,音乐 / 真人秀,China,演唱会（片名）；音乐类型（纪录片/演唱会）,排除,
4018191,惊情,1985,8.4,粤语,音乐,China,音乐类型（纪录片/演唱会）,排除,
2238915,大你,2002,8.7,粤语,纪录片 / 音乐,China,音乐类型（纪录片/演唱会）,排除,
3804286,爱得太迟,2006,8.1,粤语,音乐,China,音乐类型（纪录片/演唱会）,排除,
24526150,上海老爵士,2013,8.3,汉语普通话 / 上海话 / 英语 / 荷兰语,纪录片 / 音乐,Europe,音乐类型（纪录片/演唱会）,排除,
35044539,梅艳芳·10·思念·音乐·会,2013,9.3,粤语,音乐,China,音乐类型（纪录片/演唱会）,排除,
26636158,回味．Twins,2015,8.8,粤语,纪录片 / 音乐,China,音乐类型（纪录片/演唱会）,排除,
26919586,2016MAMA亚洲音乐盛典,2016,6.6,韩语 / 汉语普通话 / 粤语 / 日语,音乐 / 歌舞,East_Asia,音乐类型（纪录片/演唱会）,排除,
30439539,L.O.V.E in F.R.A.M.E.S,2019,9.3,粤语,纪录片 / 音乐,China,音乐类型（纪录片/演唱会）,排除,
26740516,第23届香港电影金像奖颁奖典礼,2004,8.3,粤语,真人秀,China,颁奖礼（片名）,排除,
26740526,第31届香港电影金像奖颁奖典礼,2012,6.7,粤语,真人秀,China,颁奖礼（片名）,排除,
26740528,第33届香港电影金像奖颁奖典礼,2014,6.8,粤语,真人秀,China,颁奖礼（片名）,排除,
26740529,第34届香港电影金像奖颁奖典礼,2015,6.6,粤语,真人秀,China,颁奖礼（片名）,排除,
26740530,第35届香港电影金像奖颁奖典礼,2016,7.1,粤语,真人秀,China,颁奖礼（片名）,排除,
26923119,第36届香港电影金像奖颁奖典礼,2017,6.6,粤语 / 汉语普通话,真人秀,China,颁奖礼（片名）,排除,
27175992,第37届香港电影金像奖颁奖典礼,2018,6.6,粤语 / 汉语普通话,真人秀,China,颁奖礼（片名）,排除,
30377813,第38届香港电影金像奖颁奖典礼,2019,7.4,粤语,歌舞 / 真人秀,China,颁奖礼（片名）,排除,
33412940,第39届香港电影金像奖颁奖典礼,2020,5.0,粤语 / 汉语普通话,短片 / 真人秀,China,颁奖礼（片名）,排除,
