片名,年份,语言,第一语言,筛选原因,导演,类型,制片国家/地区,豆瓣评分,评价人数,剧情简介,Gemini评价,Region,Language_Category,Decade,Is_Dialect,来源URL
死亡游戏,1978,英语 / 汉语普通话 / 粤语,英语,外语为第一语言,罗伯特·高洛斯,动作 / 犯罪 / 剧情,中国香港 / 美国,7.8,14386,动作片明星比利（李小龙&唐龙 饰）最近频频遭遇骚扰，原来邪恶集团头领兰德博士有意掌控在澳门举办的国际搏击大赛，希望比利能够入伙，然而比利的拒绝令他们怒火中烧。比利与歌星女友安一同出行，被兰德一伙截路殴打，比利决定奋起反抗，由于担心女友的安危只得忍耐。不久，比利在片场遭暗算，面部受创，随即将计就计放出死亡消息麻痹兰德。在搏击比赛期间，比利潜入澳门，将兰德的选手击溃，使其计划破产。随后比利孤身一人前往兰德团伙核心大楼，在层层挑战中讨伐仇敌……本片在李小龙去世后用他生前拍摄的片段补拍而成，大部分镜头中比利这一角色由唐龙扮演。,影片作为李小龙的遗作，尽管带有拼接遗憾，但其标志性的黄色战衣与哲学格斗，依然具有不朽的图腾意义。,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1308456/
炮弹飞车,1981,英语 / 粤语 / 日语 / 阿拉伯语,英语,外语为第一语言,哈尔·尼达姆,动作 / 喜剧,美国 / 中国香港,5.7,957,一群来自世界各地的赛车手，参加一场由美国东岸横跨至西岸的非法赛车，各选手勾心斗角力求得胜。因其中有反对此项赛车的人掳走政客助理为人质，导致警方追查，全体选手乃合力突破警方路障。,经典电影暂无评价,North_America,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1295948/
一盘没有下完的棋,1982,日语 / 汉语普通话,日语,外语为第一语言,佐藤纯弥 / 段吉顺,剧情,日本 / 中国大陆,7.5,1217,1920年代，北平。在一次军阀寿宴棋会上，日本围棋高手松波（三国连太郎 饰）与江南棋王况易山（孙道临 饰）相遇。无意中松波发现况子阿明（沈冠初 饰）天资聪慧，有意收其为徒，松波刚在“天元”位摆下一子，不料，况易山被突然登门的警察抓走。松波救出况易山后，自己归期已到，留下那 盘没下完的残棋。几年后，况易山变卖家业，送子赴日。临行前，他将写有“奋飞”二字的折扇交给儿子，嘱其学好棋艺，日后振兴祖国棋坛。1937年，日寇进行全面侵华战争，已取得“天圣位”的阿明拒绝日当局要他加入日籍的要求，在决定逃回国时被日军杀害。在无锡的况易山，也因拒绝与日军大佐对弈，遭受巨大不幸和屈辱......,中日合拍的史诗巨制，以方寸棋盘的对决折射出时代与国家的动荡浩劫，在节制深沉的情感中令人动容。,East_Asia,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1313473/
投奔怒海,1982,粤语 / 日语 / 法语 / 越南语,粤语,外语为主(外语3/中文1),许鞍华,剧情,中国香港,8.5,16202,日本摄影记者芥川（林子祥）三年后重返刚刚解放的越南采访，遍地的生机令他心生欢喜，但当他无意间走进城市的另一隅结识当地女孩琴娘（马斯晨）后，方知之前所见不过是越共政府特意为他这样的外国记者安排的粉饰太平的假像。在琴娘并非刻意的“导游”下，越南平民百姓正处于水深火热中的悲惨生活逐渐被芥川尽收眼底。琴娘一家人、战后唯一留下来的某酒吧的老板娘（缪骞人）及她的正想方设法逃离越南的情人祖明（刘德华）等人的被越共任意践踏的自尊强烈地触动着芥川敏感善良的心，尽管他并无彻底改变他们命运的能力，却仍是尽力给予帮助。,许鞍华以极其写实、冷峻的镜头语言，还原了越战后越南民生的凄凉惨状，在冷漠的历史洪流中拷问了人道精神。,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1296557/
龙之忍者,1982,英语 / 粤语,英语,外语为第一语言,元奎,动作 / 喜剧,中国香港,7.0,203,1977年，吳思遠和袁和平合作拍《蛇形刁手》，找到一個成龍，再拍《醉拳》成龍從此飛黃騰達，然後袁和平再找，要為影壇再創出一個成龍式的動作巨星，袁和平金睛火眼的全 先找來一個美國華裔大隻仔李元霸，再請日本巨星級的千葉真一，「極真派」空手道徒弟真田廣之，合演《龍之忍者》，全港台亞洲大賣，李元霸一舉成名人人說「新一代成龍」誕生。李元霸也飄飄然到台灣擅自簽片約給別人，還說一句「你們搞掂吳思遠我就替你們拍片」，結果令致吳思遠在台灣被黑社會襲擊，打至重傷，吳思遠和袁和平就拿住他的合約「永不起用」，李元霸就此一片玩完。,,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1295964/
两只老虎,1985,英语 / 粤语,英语,外语为第一语言,吴宇森,家庭 / 喜剧 / 奇幻,中国台湾 / 中国香港 / 美国,6.3,729,亿万富翁范进宾（徐克 饰）的儿子和儿媳在一场车祸中双双身亡，只留下可怜的孙子小宝贝（温兆宇 饰）陪在身旁，范因此对孙子格外关爱，养成了他任性骄傲的坏毛病。新来的家庭女教师玛丽（潘迎紫 饰）与小宝贝一番大战之后，成为了亲密无间的好朋友。范的侄子（许圣武 饰）贪婪凶狠，为谋夺财产不惜整死叔父。然而却发现遗嘱中已规定小宝贝成为亿万家财的唯一继承人。唯恐遭到毒手，小宝贝逃出家门。表叔的爪牙们阴差阳错将与小宝贝长的一模一样的彬彬（温兆宇 饰）及其叔叔泰迪（泰迪罗宾 饰）抓了回来。由此引发一连串爆笑刺激的精彩好戏……,,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1298235/
威龙猛探,1985,英语 / 粤语,英语,外语为第一语言,詹姆斯·格利肯豪斯,剧情 / 动作 / 犯罪,中国香港 / 美国,6.3,4253,当夜色笼罩纽约，这里又变成了一座犯罪猖獗的城市。华人警察黄比利（成龙 饰）和同事来到酒吧庆祝来美十周年，不料同事却被一群闯入的劫匪杀死，愤怒的比利将凶手正法，因此激怒了上司，被惩罚性质的派到大亨沙比路的时装展上维持治安，表演期间，沙比路的女儿罗娜被一群人劫走，而沙比路的保镖宾尼事发前曾向香港打过多个电话，种种迹象表明，沙比路和香港头号毒枭高伟洛（乔宏 饰）有过合作，而二人产生争执可能导致这次的绑架。比利和搭档丹尼（丹尼·埃洛 Danny Aiello 饰）前往香港，在这里找到了高伟洛昔日两名合作伙伴李兴以及何天的女儿何美芳（叶倩文 饰），希望对方能够提供线索。高伟洛迅速派人追杀比利和丹尼，以及昔日的合作伙伴。比利冲破重重阻碍，查清了高伟洛的巢穴，带领搭档向高发起了猛攻……,经典电影暂无评价,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1304199/
中华英雄,1986,英语 / 粤语,英语,外语为第一语言,李连杰,动作 / 战争,中国香港 / 中国大陆,6.4,5628,国军的抗日战士小杰（李连杰 饰）经浴血奋战终于迎来抗战胜利，但是英雄的荣誉却属于美国军人。小杰赶到青岛投奔自己在军中的救命恩人张大哥（赵尔康 饰），其时张大哥刚把做陪酒女郎的女儿小蕊（宋佳 饰）赶出家门，小杰与张二人靠拉黄包车度日。在中国的美军飞扬跋扈，撞伤路人，小杰与美国军官汉斯对峙，引发群众将美军车辆烧毁。小杰在混乱的酒吧中响应美军挑战，登上拳台将对方击败。张大哥不堪女儿被美国兵调戏，却被对方殴打重伤。小杰为了给张大哥治伤筹钱，落入了美国兵的圈套，登上拳台做了人肉靶子。汉斯趁机再次向小杰挑战，二人混战之后张大哥和小蕊父女团聚，然而美国人的报复却仍然没有终止……,影片以硬朗朴实的武打风格与激昂的爱国主义情怀，生动呈现了二十世纪初华工在异国他乡的奋斗与抗争。,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1305595/
北京故事,1986,英语 / 汉语普通话,英语,外语为第一语言,王正方,剧情 / 喜剧 / 家庭,美国 / 中国大陆,7.6,1355,一转眼，方立群（王正方 饰）在美国已经生活了快三十年了，虽然生活已经全盘西化，但在朋友和上司的眼里，方立群始终都是“异类”。因为老板对华人的歧视，方立群一怒之下辞了职，带着老婆格蕾丝（沙龙·艾瓦伊 Sharon Iwai 饰）和儿子保罗（余朝汉 饰）回到了北京投奔姐姐方立敏（慎广兰 饰）和姐夫老赵（胡晓光 饰），两家人住在四合院里。方莉莉（李勤勤 饰）是方立敏的女儿，和男友刘一达（王霄 饰）交往多时，两人正在备考英语，准备报考同一所大学。保罗和他们的年纪差不多，所以三人很快就玩到了一起，结下了深厚的友谊。那边厢，方立群和方立敏两家人，虽然有着迥异的个性和截然不同的生活习惯，却依旧相处得其乐融融。,经典电影暂无评价,North_America,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1308369/
火龙,1986,英语 / 汉语普通话,英语,外语为第一语言,李翰祥,剧情 / 传记 / 历史,中国大陆 / 中国香港,7.4,1456,朝代更迭，沧桑巨变。当年高高在上的大清帝国宣统皇帝——爱新觉罗·溥仪（梁家辉 饰）有心重铸辉煌，无奈历史的车轮滚滚向前，无可阻拦。在中国的大地上，清朝、民国、辫子军、军阀、日本侵略者、共产党，你方唱罢我登场，昔日的皇帝沦为阶下囚，不复当年辉煌。经过新中国的改造，溥仪脱胎换过，决心做一个好公民。昔日的皇后、嫔妃或死或离，几无生活自理能力的溥仪晚景凄凉。在周总理（王铁成 饰）的授意下，政府为他安排与医院护士李淑贤（潘虹 饰）结成夫妇。婚后生活平淡幸福，却也诸多劳苦。这位曾经万人之上的皇帝，还将经受更多时代的磨砺……本片根据李淑贤口述改编而成。,李翰祥以细腻写实的宫廷画卷与平视的历史视角，深沉书写了末代皇帝溥仪后半生的平民化转型。,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1303503/
黑炮事件,1986,汉语普通话 / 德语 / 英语,汉语普通话,外语为主(外语2/中文1),黄建新,剧情 / 喜剧,中国大陆,8.5,22105,赵书信（刘子枫 饰）是某矿山公司的工程师，为人忠厚，工作勤勉。下棋是赵书信为数不多的爱好之一，他对自己那副棋子也格外珍惜，却于一次出差归来时发现丢失了一枚，情急之下冒雨前往邮局，发了一封“黑炮丢失301找赵”的电报给旅馆，寻找棋子。岂料这封电报招致邮局方面的怀疑，上报 公安局立案侦查，上升成了所谓的“黑炮事件”。 受此事件影响，赵书信被调离原来岗位，更阻止其参与正在进行的德国合作项目。公司将精通德语的专家赵书信换成了旅游翻译冯良才，工程进度和质量受到重大影响。不久，邮局送来一个寄给赵书信的邮包，矿山公司高层领导秘密将其打开，发现里面竟是一颗棋子…… 电影《黑炮事件》获广播电影电视部优秀故事片奖 、第6届中国电影金鸡奖最佳男演员奖（刘子枫）。,荒诞冷静的黑幽默叙事与充满形式感的几何摄影，极其辛辣地讽刺了官僚主义的荒诞与偏见。,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1434269/
末代皇帝,1987,英语 / 汉语普通话 / 日语,英语,外语为第一语言,贝纳尔多·贝托鲁奇 Bernardo Bertolucci,剧情 / 传记 / 历史,意大利 / 中国大陆 / 英国 / 法国,9.0,726866,经典电影暂无简介。,《末代皇帝》：关于溥仪悲惨一生的跨国史诗巨作，贝托鲁奇在紫禁城捕捉的金色余晖与夕阳追逐，将清朝废帝的落寞刻画得入木三分。,Europe,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1293172/
秋天的童话,1987,粤语 / 英语 / 日语,粤语,外语为主(外语2/中文1),张婉婷,剧情 / 爱情,中国香港,8.5,81053,留学生李琪（钟楚红 饰）独自一人从香港到纽约读书，满心以为接机的会是自己的男友（陈百强 饰），来到却是一位远方亲戚和一位在唐人街打工的船头尺（周润发 饰）。原来自己的男友已经移情别恋了，令李琪伤心不已，把自己关在房内。船头尺不放心前往询问，闻到煤气味便以为李琪自杀，原来只是煤气泄漏。船头尺鼓励李琪就算一个人也要好好生活读书，李琪得到了他的鼓励及帮助，便开始专心读书和工作。当中船头尺也屡遭不顺，两人互相帮助之余，船头尺也爱上了李琪……,影片以诗意克制的镜头语言，将异国他乡的孤独男女之间的纯真爱意娓娓道来，克制而悠长。,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1301912/
义胆红唇,1988,粤语 / 英语 / 日语,粤语,外语为主(外语2/中文1),孙仲,动作,中国香港 / 美国,6.6,2412,李志超（周润发）与周强（狄龙）乃一对任职警界多年的好朋友。十年前，强与搭档将毒贩姚达（徐少强）绳之于法。达甫出狱即向强之拍档下毒手，强也不能幸免，先是遭受纪律处分，后更被杀手伏击。强虽然侥幸逃脱，但家人却难逃厄运。超本替强出头，向达提出希望二人之间可以大事化小。但经此一 役，加上发现自己爱上的女人Penny（恬妞）原来是达的女朋友。超体会到一定要因人而仁，因人而暴，绝不可墨守成规，遂决定与强一起找达报仇...,经典电影暂无评价,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1823501/
最后的贵族,1989,英语 / 汉语普通话,英语,外语为第一语言,谢晋,剧情 / 爱情,中国大陆,7.4,3306,1940年代后期，出身望族的李彤（潘虹 饰）、黄惠芬（李克纯 饰）、雷芷苓（肖雄 饰）和张嘉行（卢玲 饰）四姐妹远渡重洋，来到美国留学。49年元旦，她们在学校联谊会上，用歌声抒发对祖国亲人的思念和祝福。不久，李彤因家中巨大变故离开三个女友，谁也不知她去了哪里。李彤的男友陈寅（濮存昕 饰）苦等无着，与惠芬和其他一对新人准备结婚。李彤突然出现在了婚宴上，她近乎疯狂的装扮和举止令朋友们惊诧，原来她已和一个已婚男人同居。时光荏苒，李彤后来又和一个南美商人混在一起，并因酒后滋事关进拘留所，保释出来后，她在惠芬女儿莉莉生日后不久，又不知飘向何方去了......,谢晋导演以宏大的历史视野，悲悯地书写了乱世中名门闺秀的命运沉浮，时代感厚重，情感深沉哀婉。,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1304669/
秦始皇,1989,英语 / 汉语普通话,英语,外语为第一语言,托尼·安齐洛 / 刘浩学,纪录片 / 短片,加拿大 / 中国大陆,5.8,172,揭开秦始皇不为人知的秘密，耗资700万美元，拍摄五个月，难得一见。其中有真实的纪录部分，观众可以亲眼目睹1947年西安秦始皇兵马俑地下陵墓及其发掘情形，7000个面貌不同、栩栩如生的陪葬品的兵马俑一一搬上镜头。,,North_America,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1859835/
赌神,1989,粤语 / 日语 / 英语,粤语,外语为主(外语2/中文1),王晶,喜剧 / 剧情,中国香港,8.4,212127,高进（周润发 饰）前来香港与赌魔决斗，怎料刚抵港，便被南哥（杨泽霖 饰）追杀，结果堕入陷阱而失忆。幸得刀仔（刘德华 饰）和其女友珍（王祖贤 饰）相救，他们把高进带回家中疗养，发现高进精通赌术后，兴奋不已，想利用他来挣大钱，却反而因为高进发挥不稳亏了钱。高进妻子遭其堂弟高义醉酒后污辱杀害。高义进而联手南哥，设计谋害高进，四处搜罗进的藏身地点，前往追杀。逃亡之时，高进翻车受伤，竟恢复了记忆——但是却怎样也记不起失忆期间的事情。刀仔提醒进，高义并非好人，但进却毅然蒙在鼓里，不知危难当头。,影片将传奇的赌坛风云与无厘头幽默、豪迈兄弟情完美融合，掀起了华语黑帮赌片的长青风潮。,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1300883/
