movie_id,片名,年份,语言,evidence,confidence,human_review_required,reason
3217122,一页台北,2010,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,台北夜市闽南语小品
6869395,低俗喜剧,2012,汉语普通话 / 粤语,LLM_JUDGE,0.9,0,彭浩翔纯粤语喜剧
3732800,我们天上见,2010,汉语普通话 / 蚌埠话,LLM_JUDGE,0.9,0,蚌埠话自传体祖孙片
25757187,我不是王毛,2016,汉语普通话 / 河南话,LLM_JUDGE,0.95,0,全程河南话黑白抗战喜剧
1291850,站台,2000,汉语普通话 / 晋语,BENCHMARK,0.95,1,汾阳晋语标杆片
1794435,姨妈的后现代生活,2007,汉语普通话 / 上海话 / 武汉话 / 东北话,BENCHMARK,0.95,1,上海话贯穿标杆片
34805873,孤味,2020,汉语普通话 / 闽南话,LLM_JUDGE,0.9,0,台南闽南语家庭片
2055017,练习曲,2007,汉语普通话 / 闽南语 / 立陶宛语,LLM_JUDGE,0.85,0,环岛闽南语风土片
4860078,无间道(正序版),2006,汉语普通话 / 粤语 / 英语 / 泰语,LLM_JUDGE,0.85,0,经典港片粤语对白
26796664,叶问外传：张天志,2018,汉语普通话 / 粤语 / 英语,LLM_JUDGE,0.85,0,粤语功夫片
1322851,青红,2005,汉语普通话 / 上海话,LLM_JUDGE,0.8,0,三线贵州上海话家庭
1305261,恐怖分子,1986,汉语普通话 / 闽南语,LLM_JUDGE,0.9,0,杨德昌台北闽南语片
3607666,高兴,2009,汉语普通话 / 陕西话,LLM_JUDGE,0.9,0,陕西话音乐喜剧
1761854,高三,2005,汉语普通话 / 福建方言,LLM_JUDGE,0.9,0,福建方言高三纪录片
1306870,猛龙过江,1972,汉语普通话 / 粤语 / 英语 / 意大利语,LLM_JUDGE,0.8,0,李小龙港片粤语对白
1299436,风柜来的人,1983,汉语普通话 / 闽南语,LLM_JUDGE,0.9,0,侯孝贤闽南语青春片
1297418,麻将,1996,汉语普通话 / 英语 / 法语 / 闽南语,LLM_JUDGE,0.8,0,杨德昌台北闽南语群像
1300678,没事偷着乐,1999,汉语普通话 / 天津方言,LLM_JUDGE,0.9,0,全程天津话市民喜剧
1304476,独立时代,1994,汉语普通话 / 闽南话,LLM_JUDGE,0.9,0,杨德昌台北闽南话群像
1947270,天狗,2006,汉语普通话 / 晋语,LLM_JUDGE,0.9,0,晋语山村护林片
1291876,黄土地,1984,汉语普通话 / 陕西方言,LLM_JUDGE,0.9,0,陕北方言民歌经典
3892449,熊猫大侠,2009,汉语普通话 / 四川方言,LLM_JUDGE,0.75,0,四川方言古装喜剧
26957500,老兽,2017,汉语普通话 / 晋语,LLM_JUDGE,0.85,0,鄂尔多斯晋语家庭片
3629232,带我去远方,2009,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,闽南语渔村少女片
26324232,摇摇晃晃的人间,2017,汉语普通话 / 湖北方言,LLM_JUDGE,0.9,0,余秀华湖北方言纪录片
1309087,世界,2005,汉语普通话 / 晋语 / 俄语 / 英语,LLM_JUDGE,0.85,0,贾樟柯晋语北漂片
30419744,春江水暖,2020,汉语普通话 / 杭州话,LLM_JUDGE,0.9,0,富阳杭州话家族片
35154957,消失的情人节,2020,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,陈玉勋闽南语奇幻爱情
10833919,美姐,2013,汉语普通话 / 晋语,LLM_JUDGE,0.9,0,晋语二人台乡土片
1307561,青少年哪吒,1992,汉语普通话 / 台语,LLM_JUDGE,0.9,0,蔡明亮西门町台语片
2038365,十三棵泡桐,2007,汉语普通话 / 四川话,LLM_JUDGE,0.85,0,成都四川话青春片
4291275,到阜阳六百里,2011,汉语普通话 / 上海话,LLM_JUDGE,0.85,0,沪语底层打工女性片
3552301,爱到底,2011,汉语普通话 / 台语,LLM_JUDGE,0.75,0,台语三段式爱情片
1298871,海滩的一天,1983,汉语普通话 / 闽南话 / 日语 / 德语,LLM_JUDGE,0.9,0,杨德昌南部闽南语片
4253448,第四张画,2010,国语 / 闽南语,LLM_JUDGE,0.85,0,钟孟宏闽南语家庭片
4307349,父后七日,2010,汉语普通话 / 闽南语,LLM_JUDGE,0.9,0,闽南语丧葬民俗喜剧
25746414,暴走神探,2015,汉语普通话 / 英语 / 上海话,LLM_JUDGE,0.75,0,民国上海探案沪语对白
1303458,南国再见，南国,1996,汉语普通话 / 闽南语,LLM_JUDGE,0.9,0,侯孝贤闽南语黑帮片
1308228,鲁冰花,1989,汉语普通话 / 闽南语,LLM_JUDGE,0.9,0,闽南语乡土经典
6894068,宅男电台,2011,汉语普通话 / 日语 / 上海话,LLM_JUDGE,0.8,0,上海弄堂沪语小品
5382848,鸡排英雄,2011,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,闽南语夜市喜剧
2375763,漂浪青春,2008,汉语普通话 / 台语,LLM_JUDGE,0.85,0,台语三段式文艺片
4728518,人山人海,2012,汉语普通话 / 贵州话,LLM_JUDGE,0.85,0,贵州方言千里追凶片
26586488,红衣小女孩,2015,汉语普通话 / 台语,LLM_JUDGE,0.8,0,台语民俗恐怖片
25951720,寻找心中的你,2016,汉语普通话 / 粤语 / 英语,LLM_JUDGE,0.75,0,90年代港式粤语纯爱片
1424582,红颜,2005,汉语普通话 / 四川话,LLM_JUDGE,0.9,0,四川方言县城女性片
6858739,爱的面包魂,2012,汉语普通话 / 闽南语 / 英语 / 法语,LLM_JUDGE,0.8,0,闽南语面包店喜剧
26306656,醉·生梦死,2015,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,张作骥闽南语边缘人片
1302181,热带鱼,1995,汉语普通话 / 闽南语,LLM_JUDGE,0.9,0,陈玉勋闽南语绑架喜剧
2271640,天下第二,2007,汉语普通话 / 日语 / 英语 / 陕西方言 / 四川方言,LLM_JUDGE,0.75,0,陕川方言武侠喜剧
26994321,角头2：王者再起,2018,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,闽南语黑帮片
2148295,奇迹世界,2007,汉语普通话 / 天津话,LLM_JUDGE,0.8,0,宁浩天津话短片
4304212,当爱来的时候,2010,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,张作骥闽南语家庭片
1888671,鸡犬不宁,2006,汉语普通话 / 河南话,BENCHMARK,0.9,1,河南话豫剧艺人喜剧
11528251,告诉他们，我乘白鹤去了,2012,汉语普通话 / 甘肃方言,LLM_JUDGE,0.9,0,李睿珺甘肃方言棺材片
4078592,上海王,2017,汉语普通话 / 英语 / 上海话 / 日语,LLM_JUDGE,0.75,0,上海滩黑帮沪语对白
1302384,赵先生,1999,汉语普通话 / 上海话,LLM_JUDGE,0.85,0,吕乐上海沪语写实片
27199913,灰猴,2019,汉语普通话 / 山西方言,LLM_JUDGE,0.85,0,山西方言犯罪喜剧
19962587,夜莺,2014,汉语普通话 / 广西方言 / 法语,LLM_JUDGE,0.8,0,广西方言祖孙公路片
4275444,有一天,2010,汉语普通话 / 闽南语,LLM_JUDGE,0.75,0,高雄旗津闽南语奇幻
33464837,蓝色防线,2020,汉语普通话 / 英语 / 河南方言 / 努维尔语,LLM_JUDGE,0.75,0,维和官兵河南方言纪实
26061902,东北偏北,2015,汉语普通话 / 东北方言,LLM_JUDGE,0.85,0,东北方言破案喜剧
1302941,戏梦人生,1994,汉语普通话 / 日语 / 闽南语,LLM_JUDGE,0.9,0,侯孝贤闽南语布袋戏传记
20515031,总铺师,2013,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,陈玉勋闽南语办桌喜剧
26961159,囚,2017,汉语普通话 / 东北方言,LLM_JUDGE,0.9,0,东北精神病院纪录片
1299227,魔法阿妈,1998,汉语普通话 / 闽南语,LLM_JUDGE,0.9,0,闽南语动画经典
26177735,皮绳上的魂,2017,汉语普通话 / 藏语,LLM_JUDGE,0.85,0,藏语魔幻公路片
1424631,大李小李和老李,1962,汉语普通话 / 沪语,LLM_JUDGE,0.9,0,沪语滑稽戏体育喜剧经典
2230890,无用,2007,汉语普通话 / 粤语 / 英语 / 法语,LLM_JUDGE,0.7,0,贾樟柯纪录片粤语汾阳段落
11537964,有人赞美聪慧，有人则不,2012,汉语普通话 / 汉语方言,LLM_JUDGE,0.8,0,山西儿童片汉语方言
1294139,似水流年,1984,汉语普通话 / 粤语,LLM_JUDGE,0.8,0,潮汕乡情片方言对白
26968495,最后的诗句,2017,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,闽南语青年爱情片
30208007,藏北秘岭-重返无人区,2018,汉语普通话 / 藏语,LLM_JUDGE,0.8,0,羌塘藏区藏语纪录片
6989743,阵头,2012,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,闽南语阵头文化片
26605028,幸福路上,2018,汉语普通话 / 英语 / 闽南语,LLM_JUDGE,0.75,0,闽南语手绘动画长片
3212098,河上的爱情,2008,汉语普通话 / 粤语,LLM_JUDGE,0.7,0,贾樟柯短片粤语旧友重聚
1305085,盗马贼,1986,汉语普通话 / 藏语,LLM_JUDGE,0.9,0,藏语宗教经典
4707225,不是闹着玩的,2010,普通话/国语 / 河南方言,LLM_JUDGE,0.85,0,河南方言农民拍电影喜剧
34925598,腿,2020,汉语普通话 / 闽南话,LLM_JUDGE,0.8,0,闽南语黑色幽默寻腿片
11599151,大尾鲈鳗,2013,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,猪哥亮闽南语喜剧
10864754,天津闲人,2012,汉语普通话 / 天津话,LLM_JUDGE,0.9,0,天津话民国市井片
26275692,角头,2015,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,闽南语市场黑帮片
27069377,淡蓝琥珀,2018,汉语普通话 / 重庆方言,LLM_JUDGE,0.85,0,重庆方言女性文艺片
25775642,嘿！小面,2013,汉语普通话 / 重庆话,LLM_JUDGE,0.9,0,重庆话美食纪录片
26732377,川流之岛,2016,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,闽南语收费员爱情片
4116937,西藏往事,2011,汉语普通话 / 英语 / 藏语,BENCHMARK,0.9,1,藏语部落跨国爱情标杆片
1868857,大桥下面,1984,汉语普通话 / 上海话,LLM_JUDGE,0.75,0,沪语市民生活片
30200085,如果早知道男生也会被性侵,2013,汉语普通话 / 闽南语,LLM_JUDGE,0.7,0,闽南语教育宣导片
26429879,我不做大哥好多年,2017,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,猪哥亮闽南语喜剧续集
26780534,52赫兹，我爱你,2017,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,魏德圣闽南语歌舞片
21340768,急诊,2013,汉语普通话 / 粤语,LLM_JUDGE,0.85,0,广州急诊粤语纪录片
1301098,黑暗之光,1999,汉语普通话 / 闽南语,LLM_JUDGE,0.9,0,张作骥基隆闽南语片
1304291,三个夏天,1993,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,离岛闽南语成长片
4920572,茱丽叶,2010,汉语普通话 / 闽南话,LLM_JUDGE,0.8,0,三段式闽南语文艺片
26665828,呼吸正常,2016,汉语普通话 / 粤语,LLM_JUDGE,0.85,0,广州即兴粤语城市片
1485319,赖小子,2006,汉语普通话 / 晋语,LLM_JUDGE,0.85,0,晋语煤矿小镇青春片
1306970,上海假期,1991,汉语普通话 / 英语 / 上海话,LLM_JUDGE,0.85,0,许鞍华弄堂沪语片
4833562,碧罗雪山,2010,汉语普通话 / 傈僳语,LLM_JUDGE,0.9,0,傈僳语少数民族片
1316559,美丽在唱歌,1997,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,林正盛闽南语青春片
2256043,千钧。一发,2008,汉语普通话 / 东北话,LLM_JUDGE,0.85,0,齐齐哈尔东北话排爆片
1903720,五女拜寿,1984,汉语普通话 / 吴越方言,LLM_JUDGE,0.85,0,越剧电影吴语唱白
26306897,李文漫游东湖,2015,汉语普通话 / 武汉方言,LLM_JUDGE,0.9,0,武汉方言伪纪录片
30337147,那年1987,2018,汉语普通话 / 粤语,LLM_JUDGE,0.7,0,广州改革年代粤语片
30255216,您一定不要错过,2018,汉语普通话 / 蒙语 / 日语 / 俄语,LLM_JUDGE,0.7,0,蒙古族影像文献片
26433965,告别,2015,汉语普通话 / 蒙古语,LLM_JUDGE,0.85,0,蒙古语家庭临终片
26271105,同流合乌,2016,汉语普通话 / 粤语 / 日语 / 英语,LLM_JUDGE,0.7,0,云翔粤语文艺片
6224731,带一片风景走,2011,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,澎恰恰闽南语公路片
4233892,老虎都要嫁,2010,汉语普通话 / 粤语,LLM_JUDGE,0.7,0,广州粤语都市喜剧
24869508,斗争,2012,汉语普通话 / 维吾尔语,LLM_JUDGE,0.85,0,文牧野维语信仰短片
1459399,鲁迅,2005,普通话 / 上海话 / 日语 / 英语,LLM_JUDGE,0.7,0,上海晚年沪语穿插
1308729,我的美丽与哀愁,1995,汉语普通话 / 台语,LLM_JUDGE,0.8,0,陈国富台语奇幻片
5997849,暑假作业,2013,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,张作骥乡间闽南语片
3732860,多大事啊,2009,汉语普通话 / 南京话,LLM_JUDGE,0.85,0,南京话市井喜剧
30214059,红毛皇帝,2018,汉语普通话 / 河南话,LLM_JUDGE,0.85,0,河南话尬舞直播纪录片
4718232,无蝉的夏天,2010,汉语普通话 / 四川话,LLM_JUDGE,0.85,0,四川话温情小品
3003092,冈拉梅朵,2008,汉语普通话 / 藏语,LLM_JUDGE,0.8,0,拉萨藏语爱情片
27621448,范保德,2018,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,萧雅全闽南语父子片
1763100,深海,2005,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,郑文堂闽南语女性片
6902345,潘多拉的宝剑,2012,汉语普通话 / 河南方言,LLM_JUDGE,0.7,0,河南方言土豪喜剧
1308553,桂花巷,1987,汉语普通话 / 台语,LLM_JUDGE,0.85,0,陈坤厚台语女性史诗
27177463,那个我最亲爱的陌生人,2019,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,张作骥闽南语家庭片
2338323,请将我遗忘,2007,汉语普通话 / 四川话,LLM_JUDGE,0.8,0,成都四川话情感片
1305146,一只鸟仔哮啾啾,1997,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,闽南语乌脚病乡土经典
6386979,有一种静叫庄严,2011,汉语普通话 / 湖南方言,LLM_JUDGE,0.85,0,湖南方言伪纪录片
30378028,世外桃源,2018,汉语普通话 / 四川方言,LLM_JUDGE,0.85,0,四川方言乌托邦纪录片
1301914,真心话,1999,普通话 / 英语 / 粤语,LLM_JUDGE,0.7,0,港新合拍粤语爱情片
26418005,我的“狐朋狗友”,2016,汉语普通话 / 河南话,LLM_JUDGE,0.8,0,霍猛河南话兄弟喜剧
30491798,回南天,2020,汉语普通话 / 粤语,LLM_JUDGE,0.7,0,深圳城中村粤语文艺片
3113423,我最后的秘密,2007,汉语普通话 / 吴语,LLM_JUDGE,0.85,0,苏州吴语老人纪录片
25875053,基隆,2015,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,基隆港闽南语边缘人片
27622779,人怕出名猪怕壮,2018,汉语普通话 / 四川方言,LLM_JUDGE,0.8,0,四川方言草根喜剧
30140092,小美,2018,汉语普通话 / 粤语,LLM_JUDGE,0.8,0,粤语访谈体文艺片
33459904,岐路父子,2019,汉语普通话 / 西南官话,LLM_JUDGE,0.7,0,西南官话公路短片
1306075,娃娃,1991,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,柯一正闽南语儿童片
33447759,奔跑的少年,2019,汉语普通话 / 维吾尔语,LLM_JUDGE,0.85,0,新疆维吾尔语足球追梦片
1457410,黑狗来了,2003,汉语普通话 / 台语,LLM_JUDGE,0.8,0,蔡振南台语黑色喜剧
26289140,灿烂这一刻,2017,汉语普通话 / 粤语,LLM_JUDGE,0.7,0,陈果广东粤语歌舞片
27104373,神偷大师,2017,汉语普通话 / 四川方言,LLM_JUDGE,0.7,0,四川方言网络喜剧
3056430,马戏学校,2007,汉语普通话 / 上海话,LLM_JUDGE,0.85,0,沪语马戏学校纪录片
30243293,初三四班,2018,汉语普通话 / 四川话,LLM_JUDGE,0.85,0,北川四川话震后纪录片
30242177,饿死诗人,2018,汉语普通话 / 南京话,LLM_JUDGE,0.8,0,南京话独立诗人片
34925392,拨浪鼓咚咚响,2020,汉语普通话 / 陕北方言,LLM_JUDGE,0.85,0,陕北方言寻父公路片
10833882,危城之恋,2012,汉语普通话 / 天津话,LLM_JUDGE,0.85,0,天津话民国爱情片
1298362,益西卓玛,2000,汉语普通话 / 藏语,LLM_JUDGE,0.85,0,谢飞藏语半世纪史诗
35000216,武汉战疫纪,2020,汉语普通话 / 英语 / 武汉话,LLM_JUDGE,0.7,0,武汉话疫情纪录片
3074682,大头仔,1988,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,万梓良闽南语黑帮片
3993565,额吉,2010,汉语普通话 / 蒙语,LLM_JUDGE,0.85,0,草原蒙古语孤儿片
1926445,喜马拉雅王子,2006,汉语普通话 / 藏语,LLM_JUDGE,0.8,0,藏语王子复仇片
34332494,红暑,2019,汉语普通话 / 四川方言,LLM_JUDGE,0.8,0,四川方言童年短片
26184568,奇人密码：古罗布之迷,2015,汉语普通话 / 闽南语,LLM_JUDGE,0.75,0,霹雳木偶闽南语电影
1986783,芒种,2006,汉语普通话 / 朝鲜语,LLM_JUDGE,0.85,0,张律朝鲜语边缘女性片
26731242,接线员,2017,汉语普通话 / 英语 / 闽南语,LLM_JUDGE,0.7,0,伦敦按摩院闽南语片
1401754,老莫的第二个春天,1984,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,闽南语退伍老兵经典
33451752,汉南夏日,2020,汉语普通话 / 武汉话,LLM_JUDGE,0.85,0,武汉话少女成长片
35193163,夏风沉醉的晚上,2020,汉语普通话 / 杭州话,LLM_JUDGE,0.8,0,富阳杭州话短片
4841182,云上太阳,2012,汉语普通话 / 法语 / 少数民族语,LLM_JUDGE,0.75,0,丹寨苗族语人文片
1858095,一代天骄成吉思汗,2000,汉语普通话 / 蒙古语,LLM_JUDGE,0.85,0,蒙古语成吉思汗史诗片
20254287,爱呦，阿斗,2013,汉语普通话 / 大连话,LLM_JUDGE,0.8,0,大连话毕业青春片
1963953,月光下，我记得,2005,汉语普通话 / 闽南语 / 日语,LLM_JUDGE,0.8,0,林正盛闽南语母女片
26334947,空山异客,2017,汉语普通话 / 湘西方言,LLM_JUDGE,0.8,0,湘西方言还乡片
3032884,风雪狼道,2007,汉语普通话 / 西北方言,LLM_JUDGE,0.7,0,西北方言新疆雪灾片
26352419,飞地,2016,汉语普通话 / 彝语 Yi,LLM_JUDGE,0.85,0,大凉山彝语纪录片
24867829,杠上开花,2016,汉语普通话 / 武汉话,LLM_JUDGE,0.7,0,武汉话麻将喜剧
26335565,河对岸是山,2017,汉语普通话 / 甘肃方言,LLM_JUDGE,0.8,0,甘肃方言黄河捞尸片
3224840,芳草碧连天,1987,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,闽南语农村爱情片
1790412,乡愁,2006,汉语普通话 / 上海话,LLM_JUDGE,0.85,0,舒浩仑沪语私纪录片
11226123,生活而已2,2012,汉语普通话 / 山东话,LLM_JUDGE,0.8,0,山东话私纪录片
33420933,南方少女,2019,汉语普通话 / 常州话,LLM_JUDGE,0.8,0,邱阳常州话短片
35230673,太阳底下,2020,汉语普通话 / 陕西方言,LLM_JUDGE,0.8,0,陕西方言乡村复仇短片
30162995,沿海出发,2018,汉语普通话 / 胶辽官话,LLM_JUDGE,0.8,0,胶辽官话渔村家庭片
10580093,操场,2012,汉语普通话 / 上海话Shanghainese,LLM_JUDGE,0.75,0,上海话童年短片
3113757,爆肚张和老吉家,2005,汉语普通话 / 北京话,LLM_JUDGE,0.85,0,北京话什刹海拆迁纪录片
2252377,咸豆浆,2002,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,闽南语补习班青春片
3017916,马大夫的诊所,2007,汉语普通话 / 甘肃方言,LLM_JUDGE,0.85,0,甘肃方言乡村长纪录片
26658552,送别,2015,汉语普通话 / 东北官话,LLM_JUDGE,0.7,0,东北官话下岗年代短片
4917689,读·豆瓣,2010,汉语普通话 / 粤语,LLM_JUDGE,0.7,0,广州粤语读书访谈片
1306351,给我一支猫,2003,汉语普通话 / 日语 / 粤语,LLM_JUDGE,0.7,0,吴米森台北台语荒诞片
20470278,世界第一麦方,2013,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,林正盛闽南语面包传记
26752087,拉姆与嘎贝,2019,汉语普通话 / 藏语,LLM_JUDGE,0.85,0,松太加藏语婚约片
3091050,爱情狗,2009,汉语普通话 / 重庆话,LLM_JUDGE,0.75,0,章明重庆话轻喜剧
4914628,斗鸡人,2010,汉语普通话 / 河南方言,LLM_JUDGE,0.8,0,河南方言斗鸡片
27062663,塬上,2017,汉语普通话 / 陕西方言,LLM_JUDGE,0.8,0,乔梁陕西方言朱鹮片
26200601,钱在路上跑,2014,汉语普通话 / 维吾尔语 Uyghur,LLM_JUDGE,0.85,0,维吾尔语农民喜剧
11604171,致敬青春,2012,汉语普通话 / 山西太谷方言,LLM_JUDGE,0.7,0,山西太谷方言校园片
26720391,大显神威,2016,汉语普通话 / 闽南语,LLM_JUDGE,0.8,0,猪哥亮闽南语奇幻喜剧
2330657,凤冠情事,2003,普通话/国语 / 苏州话,LLM_JUDGE,0.75,0,昆曲苏白半纪录片
6428116,胆小鬼,2011,汉语普通话 / 汕尾话,LLM_JUDGE,0.7,0,汕尾话童年短片
25772420,爸爸的晚餐,2015,汉语普通话 / 重庆话,LLM_JUDGE,0.8,0,重庆话空巢老人片
1484900,季风中的马,2005,汉语普通话 / Mongolian,LLM_JUDGE,0.85,0,宁才蒙古语草原片
26392401,裸山,2010,汉语普通话 / 贵州方言,LLM_JUDGE,0.8,0,贵州方言农村爱情片
24867840,甘南情歌,2014,汉语普通话 / 藏语,LLM_JUDGE,0.75,0,藏区援医爱情藏语片
3403153,豫菜皇后,2008,汉语普通话 / 河南话,LLM_JUDGE,0.7,0,河南话美食励志片
5382857,晓光,2001,汉语普通话 / 闽南语,LLM_JUDGE,0.7,0,钮承泽闽南语童星片
3098844,长假,2008,汉语普通话 / 闽南话,LLM_JUDGE,0.8,0,郑芬芬闽南语电视片
30372078,小郭南方漫游记,2019,汉语普通话 / 粤语,LLM_JUDGE,0.8,0,徒步回顺德粤语纪录片
27075252,夜以继夜,2019,汉语普通话 / 重庆方言,LLM_JUDGE,0.8,0,重庆方言家庭文艺片
4896301,母大虫顾大嫂,2009,汉语普通话 / 山东方言,LLM_JUDGE,0.7,0,水浒系列山东方言片
5268683,黑白照片,2010,汉语普通话 / 上海方言,LLM_JUDGE,0.8,0,舒浩仑沪语怀旧片
3075903,好猫,2008,汉语普通话 / 自贡方言,LLM_JUDGE,0.85,0,应亮自贡方言地产片
6432145,博弈,2011,汉语普通话 / 河北方言,LLM_JUDGE,0.85,0,河北方言拆迁纪录片
6110557,乌鲁木齐的天空,2011,汉语普通话 / 维语,LLM_JUDGE,0.8,0,新疆多民族维语年代片
35191327,秘密基地,2020,汉语普通话 / 潮汕话,BENCHMARK,0.9,1,潮汕话童年标杆片
27063404,壬午渝汐,2017,汉语普通话 / 德语 / 重庆方言 / 日语,LLM_JUDGE,0.7,0,重庆方言抗战网络片
5322605,消失的村庄,2011,汉语普通话 / 云南方言,LLM_JUDGE,0.7,0,云南方言护鹤村庄片
26729320,笑侃三十年,2008,汉语普通话 / 中国上海话,LLM_JUDGE,0.9,0,周立波上海话海派清口
